"pat","EREG_mRNAsi"
"TCGA.A7.A5ZV.01A",0.706085156034916
"TCGA.A7.A5ZW.01A",0.680859749774444
"TCGA.A7.A5ZX.01A",0.586049980186699
"TCGA.A7.A6VV.01A",0.717408563147454
"TCGA.A7.A6VW.01A",0.747699090749388
"TCGA.A7.A6VX.01A",0.592969998219274
"TCGA.A7.A6VY.01A",0.670358245284105
"TCGA.A8.A075.01A",0.644490492896334
"TCGA.A8.A08O.01A",0.593984122716182
"TCGA.A8.A0A6.01A",0.53485185073353
"TCGA.A8.A0AD.01A",0.644565068682657
"TCGA.AC.A23C.01A",0.742018942122107
"TCGA.AC.A23E.01A",0.761721714902402
"TCGA.AC.A23G.01A",0.47372051811181
"TCGA.AC.A23H.01A",0.664678927059186
"TCGA.AC.A2B8.01A",0.783100549749075
"TCGA.AC.A2BK.01A",0.768679181177941
"TCGA.AC.A2BM.01A",0.451276434607739
"TCGA.AC.A2FB.01A",0.53646479759034
"TCGA.AC.A2FE.01A",0.597095078297651
"TCGA.AC.A2FF.01A",0.703880437326681
"TCGA.AC.A2FG.01A",0.690689021023862
"TCGA.AC.A2FK.01A",0.591377082537848
"TCGA.AC.A2FM.01A",0.541261100494163
"TCGA.AC.A2FO.01A",0.910143642780403
"TCGA.AC.A2QH.01A",0.672938657386298
"TCGA.AC.A2QI.01A",0.434912038734848
"TCGA.AC.A2QJ.01A",0.566781348329383
"TCGA.AC.A3BB.01A",0.697007395925761
"TCGA.AC.A3EH.01A",0.574570795250425
"TCGA.AC.A3HN.01A",0.625683353514831
"TCGA.AC.A3OD.01A",0.545679905431822
"TCGA.AC.A3QP.01A",0.752521460538041
"TCGA.AC.A3QQ.01A",0.585360123778778
"TCGA.AC.A3TM.01A",0.490908011220018
"TCGA.AC.A3TN.01A",0.663171676999493
"TCGA.AC.A3W5.01A",0.594703849316449
"TCGA.AC.A3W6.01A",0.560280758924672
"TCGA.AC.A3W7.01A",0.560521918934222
"TCGA.AC.A3YI.01A",0.634787143875372
"TCGA.AC.A3YJ.01A",0.508588110877471
"TCGA.AC.A4ZE.01A",0.591210790221074
"TCGA.AC.A5EH.01A",0.589039090063597
"TCGA.AC.A5XS.01A",0.787766995933881
"TCGA.AC.A5XU.01A",0.647328570361216
"TCGA.AC.A62V.01A",0.743551149974096
"TCGA.AC.A62X.01A",0.655021553543299
"TCGA.AC.A62Y.01A",0.795617453077907
"TCGA.AC.A6IV.01A",0.747530279206207
"TCGA.AC.A6IW.01A",0.721436837817452
"TCGA.AC.A6IX.01A",0.693896440344292
"TCGA.AC.A6NO.01A",0.619088810780595
"TCGA.AC.A7VB.01A",0.915907735561376
"TCGA.AC.A7VC.01A",0.591413256638604
"TCGA.AC.A8OP.01A",0.707496886754919
"TCGA.AC.A8OQ.01A",0.776831139915392
"TCGA.AC.A8OR.01A",0.757319740738904
"TCGA.AC.A8OS.01A",0.569479693546923
"TCGA.AN.A0XL.01A",0.806445507776198
"TCGA.AN.A0XN.01A",0.818502203150774
"TCGA.AN.A0XO.01A",0.528988816767447
"TCGA.AN.A0XP.01A",0.468507317290139
"TCGA.AN.A0XR.01A",0.621196599594323
"TCGA.AN.A0XS.01A",0.660495870729295
"TCGA.AN.A0XT.01A",0.594308436272281
"TCGA.AN.A0XU.01A",0.781003196625424
"TCGA.AN.A0XV.01A",0.657516474775529
"TCGA.AN.A0XW.01A",0.793613013143694
"TCGA.AO.A03L.01A",0.765086679696978
"TCGA.AO.A03M.01B",0.705568552758486
"TCGA.AO.A03N.01B",0.626877095562108
"TCGA.AO.A03U.01B",0.579621791690641
"TCGA.AO.A0JA.01A",0.642843006499563
"TCGA.AO.A0JB.01A",0.695846912740341
"TCGA.AO.A0JC.01A",0.494635479082895
"TCGA.AO.A0JD.01A",0.717034765132651
"TCGA.AO.A0JE.01A",0.814221601227988
"TCGA.AO.A0JF.01A",0.723679619748278
"TCGA.AO.A0JG.01A",0.57517238951443
"TCGA.AO.A0JI.01A",0.499107496571502
"TCGA.AO.A0JJ.01A",0.739041470177703
"TCGA.AO.A0JL.01A",0.697089862980273
"TCGA.AO.A0JM.01A",0.760142116839845
"TCGA.AO.A124.01A",0.930533393191902
"TCGA.AO.A125.01A",0.53477950292931
"TCGA.AO.A126.01A",0.530545729747066
"TCGA.AO.A128.01A",0.442728980026463
"TCGA.AO.A129.01A",0.777240361516992
"TCGA.AO.A12B.01A",0.646374882334285
"TCGA.AO.A12E.01A",0.743645930653161
"TCGA.AO.A12G.01A",0.657238061980819
"TCGA.AO.A1KO.01A",0.660592334468255
"TCGA.AO.A1KP.01A",0.523574759687642
"TCGA.AO.A1KQ.01A",0.698513676399154
"TCGA.AO.A1KR.01A",0.624584907031796
"TCGA.AO.A1KS.01A",0.621765679536742
"TCGA.AO.A1KT.01A",0.582093681788536
"TCGA.AQ.A04H.01B",0.705447026673738
"TCGA.AQ.A04L.01B",0.700817713614692
"TCGA.AQ.A0Y5.01A",0.548162468444747
"TCGA.AQ.A1H2.01A",0.498750296427645
"TCGA.AQ.A1H3.01A",0.630663307712054
"TCGA.AQ.A54N.01A",0.525517543547933
"TCGA.AQ.A54O.01A",0.443099443539274
"TCGA.AQ.A7U7.01A",0.536068293965778
"TCGA.AR.A0TP.01A",0.66790942170382
"TCGA.AR.A0TQ.01A",0.806637766681227
"TCGA.AR.A0TR.01A",0.49832523736
"TCGA.AR.A0TT.01A",0.795641569012647
"TCGA.AR.A0TV.01A",0.590305180113738
"TCGA.AR.A0TW.01A",0.759370404809282
"TCGA.AR.A0TX.01A",0.672034307350483
"TCGA.AR.A0TZ.01A",0.482878896337216
"TCGA.AR.A0U0.01A",0.667344796195475
"TCGA.AR.A0U2.01A",0.666813193143709
"TCGA.AR.A0U3.01A",0.499522006339328
"TCGA.AR.A0U4.01A",0.840231932347036
"TCGA.AR.A1AI.01A",0.829427993583485
"TCGA.AR.A1AJ.01A",0.763639723612574
"TCGA.AR.A1AK.01A",0.577778214570855
"TCGA.AR.A1AL.01A",0.636259356315525
"TCGA.AR.A1AM.01A",0.504942103891507
"TCGA.AR.A1AN.01A",0.763976560991701
"TCGA.AR.A1AO.01A",0.951357888412624
"TCGA.AR.A1AP.01A",0.583574253758479
"TCGA.AR.A1AQ.01A",0.694400921490749
"TCGA.AR.A1AR.01A",0.671155113884406
"TCGA.AR.A1AS.01A",0.720279272949928
"TCGA.AR.A1AU.01A",0.69647587431845
"TCGA.AR.A1AV.01A",0.55171957858562
"TCGA.AR.A1AW.01A",0.563729347061247
"TCGA.AR.A1AX.01A",0.631688237752645
"TCGA.AR.A1AY.01A",0.761034408875182
"TCGA.AR.A24H.01A",0.680970299323614
"TCGA.AR.A24K.01A",0.621004849329547
"TCGA.AR.A24L.01A",0.654249843631617
"TCGA.AR.A24M.01A",0.628084054438641
"TCGA.AR.A24N.01A",0.62449078016237
"TCGA.AR.A24O.01A",0.729491560020635
"TCGA.AR.A24P.01A",0.705206813737384
"TCGA.AR.A24Q.01A",0.809977173405959
"TCGA.AR.A24R.01A",0.631604980910691
"TCGA.AR.A24S.01A",0.897579625158923
"TCGA.AR.A24T.01A",0.601567352559758
"TCGA.AR.A24U.01A",0.899388320264428
"TCGA.AR.A24V.01A",0.670286940233763
"TCGA.AR.A24W.01A",0.635762704165379
"TCGA.AR.A24X.01A",0.672070481351916
"TCGA.AR.A24Z.01A",0.592898905652879
"TCGA.AR.A250.01A",0.599988990466459
"TCGA.AR.A251.01A",0.654489916655667
"TCGA.AR.A252.01A",0.800813752450576
"TCGA.AR.A254.01A",0.885569437807183
"TCGA.AR.A255.01A",0.759598709086527
"TCGA.AR.A256.01A",0.797799252331192
"TCGA.AR.A2LE.01A",0.673829916194208
"TCGA.AR.A2LH.01A",0.646171005493693
"TCGA.AR.A2LJ.01A",0.605990199741433
"TCGA.AR.A2LK.01A",0.615771677122296
"TCGA.AR.A2LM.01A",0.56222343666351
"TCGA.AR.A2LN.01A",0.729997994650176
"TCGA.AR.A2LO.01A",0.609056581928725
"TCGA.AR.A2LQ.01A",0.721918255326053
"TCGA.AR.A5QM.01A",0.604908641153433
"TCGA.AR.A5QN.01A",0.776516130206719
"TCGA.AR.A5QP.01A",0.519692072873172
